|Nom entreprise|Adresse|Ville|Telephone
30|Veteralia Nou Premià Veterinaris|Sant Ferran, 34|Premià de Mar, Barcelona (España)|937.510.070
31|Centre Veterinari Dosrius|Glorieta Catalunya, 3|Dosrius, Barcelona (España)|937.919.389
32|Hospital Veterinari J.Prat Morera|Poetessa Caparà, 28|Terrassa, Barcelona (España)|937.834.933, 937.834.289
33|Centre Veterinari Canigó|Canigó, 73|Barcelona, Barcelona (España)|934.279.729
34|Canis i Felis Consultori Veterinari|Havana, 33|Badalona, Barcelona (España)|933.980.711
35|Centro Veterinario C. Rincón|Rambla Penyafel, 27|Santa Margarida i els Monjos, Barcelona (España)|938.186.021
36|Hospìtal Veterinari Santa Susanna|Carretera N-II, km. 672,5|Santa Susanna, Barcelona (España)|937.677.792
37|Vall dels Alcanals Veterinaris|Jaume I, 6 A|Real de montroi, València (España)|962.555.272
38|Clínica Veterinaria La Encinilla|Avenida de Madrid, 27 (junto a Cruz Roja)|San Martín de Valdeiglesias, Madrid (España)|918.612.169
39|Clínicas Veterinarias Peñagrande|Islas Marshall, 3|Madrid, Madrid (España)|913.739.022
40|Clínica Veterinaria Salud Animal|Doctor Víctor Elías Martínez, 4 bajo|Requena, València (España)|962.300.970
41|Centre Veterinari Ramón i Cajal|Ramón i Cajal, 20|Godella, València (España)|963.639.548
42|Clínica Veterinaria Blasco Ibáñez 107|Av. Blasco Ibáñez, 107|Valencia, València (España)|963.729.435
43|Clínica Técnicas Veterinarias|Mártires de la Libertad, 5|Burjassot, València (España)|963.636.189, 961.827.105
44|Centro Veterinario Algirós|Pobla de Farnals, 26|Valencia, València (España)|963.691.515
45|Clínica Veterinaria Alzira Natura|Colón, 22|Alzira, València (España)|962.418.352
46|Clínica Veterinaria L'Eliana|Benisanó, 15|L'Eliana, València (España)|961.655.860
47|Clínica Veterinaria Rocafort|Doctor José López Trigo, 6|Rocafort, València (España)|961.312.102
48|Clínica Veterinaria Sant Antoni|Avenida Alfinach, 8|Puçol, València (España)|961.420.090
49|Clínica Veterinaria Criado|Av. Virgen del Puig, 22|Puig, València (España)|961.471.150
50|Clínica Veterinària Tramuntana|Paseo de la República de Malta, 3|Tavernes de la Valldigna, València (España)|962.836.551
51|La Ribera Clínica Veterinaria|Av. Ribera, 14|Sagunto, València (España)|961.183.300
52|Clínica Veterinaria Gaspar Aguilar|Pintor Cortina, 3|Valencia, València (España)|963.575.058
53|Argos Clínica Veterinària Vic|Bisbe Strauch, 21|Vic, Barcelona (España)|938.833.467
54|Vetxarxa - Centre Veterinari de Manlleu|Ctra. d’Olot, 101|Manlleu, Barcelona (España)|938.512.102
55|Vetxarxa Clínica Veterinària del Ter - Torelló|C/ del Ter, 116|Torelló, Barcelona (España)|938.592.952
56|Centre Veterinari Cantàbria|Josep Miret, 15|Barcelona, Barcelona (España)|933.133.267
57|Salus Veterinària|Vallespir, 77|Barcelona, Barcelona (España)|934.912.367
58|València Veterinaris Clínica Veterinària|València, 577|Barcelona, Barcelona (España)|932.324.521
59|Clot Veterinària|València, 637 interior|Barcelona, Barcelona (España)|933.405.554
60|Grup Veterinària Caldes de Montbui|Major, 76|Caldes de Montbui, Barcelona (España)|938.651.986
61|La Llar del Veterinari|Camí Vell de Canovelles, 53|Granollers, Barcelona (España)|938.465.483
62|Centre Veterinari Nou Montcada|Alacant, 20|Montcada i Reixac, Barcelona (España)|935.754.203
63|ENEDOS Clínica Veterinària|Jaume I, 8|Sabadell, Barcelona (España)|937.168.487
64|Clinica Veterinaria del Penedès|Avda. de Barcelona, 12 bajos|Vilafranca del Penedès, Barcelona (España)|938.172.261
65|Clínica Veterinaria Jesús|Jerónimo Muñoz, 5|Valencia, València (España)|963.809.577
66|Centre Veterinari Cerdanyola|Sant Iscle 21|Cerdanyola del Vallès, Barcelona (España)|936.914.321
67|Clínica Calzada Veterinaria y Rehabilitación|Avda. Hostalets, 81|Puçol, València (España)|961.466.226
68|Clínica Veterinaria Doble Dog|Avenida de Madrid nº 43 Avenida de Madrid Nº 43|San Agustín de Guadalix, Madrid (España)|918.487.682, 677.336.669
69|Centre Veterinari Navas|Juan de Garay, 46 bajos|Barcelona, Barcelona (España)|933.522.654
70|Clínica Veterinària Hostal Mascotas|Avinguda Barcelona, 102|Santa Coloma de Cervelló, Barcelona (España)|935.160.205
71|Clínica Veterinaria Especies Veterinarios|C/Vent de Gregal, 29 Bajo|Puerto de sagunto, València (España)|961.086.922
72|Veterinaris del Castell Ciuró|Carril,25 Carril,25|Molins de Rei, Barcelona (España)|936.687.615
73|Policlínica Veterinària Covivet|Junta de Montes, 11 bajo|Bétera, València (España)|961.698.631
74|Clínica Veterinària Provitas|Nord, 78 - Local 22|Esplugues de Llobregat, Barcelona (España)|938.975.195
75|Més Que Gossos Centre Veterinari|Sant Carles, 57|Santa Coloma de Gramenet, Barcelona (España)|933.859.500
76|Clínica Veterinaria Canisan|Ramón y Cajal, 5|Requena, València (España)|962.392.654
77|Centre Veterinari La Creu|Clemència Isaura, 8 bajos|Sabadell, Barcelona (España)|937.115.707
78|Clínica Veterinaria El Bercial|Avenida del Parque, 1|Getafe, Madrid (España)|916.962.734
79|NaturalVet Consultori Veterinari|Bruc, 5|Berga, Barcelona (España)|938.222.828
80|Clínica Veterinaria El Carmen|Plaza Vicente Iborra, 4 Bajo|Valencia, València (España)|961.141.193
81|Clínica Veterinaria Maritim Cárdenas|Francisco de Bellvis, 24|Valencia, València (España)|963.229.178
82|Veterizonia Center|San Vicente Mártir, 119|Valencia, València (España)|962.067.039
83|Clínica Doctor Vet|Av Verge Núria, 46|Vilanova del Vallès, Barcelona (España)|938.458.600
84|PERRO BUENO Salud & Cuidado Animal|Avenida Kansas City 96, local 3 Avenida Kansas City 96. local 3|Sevilla, Sevilla (España)|954.519.693
85|Clínica Veterinaria Dr. Almoradí|C/ San Emigdio, 33|Almoradí, Alicante (España)|966.780.269
86|Clínica Veterinaria Dr. Torrevieja|Av. Diego Ramírez Pastor, 152|Torrevieja, Alicante (España)|965.719.503
87|Clínica Veterinaria Dr. San Fulgencio|Av. de Londres 1A, Local 7, Urb. La Marina|San Fulgencio, Alicante (España)|966.795.327
88|Albet Clínica Veterinaria|Avinguda Sant Bernat Calbó, 58-60|Vic, Barcelona (España)|938.860.577
89|Habitat Canet Centre Veterinari|Sant Cristòfol, 13|Canet de Mar, Barcelona (España)|937.943.819
90|Canis i Felis Hospital Veterinari|Bogatell, 71|Sant Adrià de Besos, Barcelona (España)|934.621.828
91|Lauro Hospital Veterinari|Jaume Corbera, 3|Granollers, Barcelona (España)|938.463.166
92|Feres Clínica Veterinària Manresa|Doctor Trueta, 15 - 17|Manresa, Barcelona (España)|938.742.798
93|Hospital Veterinari Viladecans|Carretera Barcelona, 40-42|Viladecans, Barcelona (España)|936.474.397
94|Clínica Veterinària Animalia Barcelona|Vint-i-sis de Gener, 42-46|Barcelona, Barcelona (España)|934.322.570
95|Clínica Veterinària Novavet|Carrer Barcelona, 26 - 28 bajo|Castellar del Vallès, Barcelona (España)|937.144.759
96|Centre Veterinari El Masnou|Carrer de Sant Miquel, 9|El Masnou, Barcelona (España)|935.557.352
97|Animàlia Clínica Veterinària|Avenida Martí Pujol, 448 Baixos|Badalona, Barcelona (España)|933.986.627
98|Feres Clínica Veterinària Sant Joan de Vilatorrada|Avda .Torrent Canigó, 53, Baixos Baixos|Sant Joan de Vilatorrada, Barcelona (España)|938.764.841
99|Centre Veterinari L'Hospitalet|Provença, 69 bajos|L'Hospitalet de Llobregat, Barcelona (España)|933.380.241
100|Clínica Veterinària Sentmenat|Plaça Constitució, 1 bajo|Sentmenat, Barcelona (España)|937.153.437
101|Les Fonts Veterinària|Plaza Enric Torrellà, 2|Terrassa, Barcelona (España)|937.318.154
102|Centre Veterinari Teià|Passeig de la Riera, 12|Teià, Barcelona (España)|935.404.121
103|Clínica Veterinària Dr. Armand Tabernero|Viladomat, 103|Barcelona, Barcelona (España)|934.231.171
104|Clínica Veterinària Gramenet|Av. Banús Baja, 1-3|Santa Coloma de Gramenet, Barcelona (España)|933.856.313
105|Veteralia Nou Premià Veterinaris|Ptge. Manent, 25|Premià de Mar, Barcelona (España)|937.524.742
106|Hospital Veterinari Montjuïc|Mèxic, 30|Barcelona, Barcelona (España)|934.237.711
107|Centre Veterinari Sant Vicenç|Riereta Pas del Llop, 30-34|Sant Vicenç dels Horts, Barcelona (España)|936.565.154
108|Hospital Veterinari de Catalunya Sarrià|Avinguda de Sarrià, 137|Barcelona, Barcelona (España)|932.057.238
109|Hospital Veterinari Delphis|Major de Sarrià, 174|Barcelona, Barcelona (España)|932.053.116
110|Centre Veterinari de Cornellà|Menéndez y Pelayo, 37|Cornella de Llobregat, Barcelona (España)|934.740.404
111|Gos i Gat Clínica Veterinària|Sant Maties, 28-30|Sabadell, Barcelona (España)|937.175.284
112|Gos i Gat Clínica Veterinària|Carretera Terrassa, 337|Sabadell, Barcelona (España)|937.275.908, 650.677.713
113|Clínica Veterinària Florit - Casas|París, 163|Barcelona, Barcelona (España)|934.309.126
114|Centre Clínic Veterinari Dr. Santi Ribell|Josep Torras i Bages, 28|Granollers, Barcelona (España)|938.400.084
115|Clínica Veterinària Veteros|Aragó, 39|Barcelona, Barcelona (España)|932.262.392
116|Clínica Veterinària Núria Plana|Santiago Rusinyol, 20|Sant Feliu de Llobregat, Barcelona (España)|936.854.494
117|Clínica Veterinària Evet|Major, 403|Vallirana, Barcelona (España)|936.833.066
118|Posa'l Bé Clínica Veterinària|Ptge. Blanchart, 4 - 6|L'Hospitalet de Llobregat, Barcelona (España)|932.615.811
119|Clínica Veterinaria DogKing Service|Avinguda de les Roquetes, 41|Sant Cugat del Vallès, Barcelona (España)|935.909.397
120|Clínica Veterinaria Camarma|De la Soledad, 4|Camarma de Esteruelas, Madrid (España)|918.866.908
121|Clínica Veterinaria Indra|Avenida España, 8|Fuenlabrada, Madrid (España)|916.155.115
122|Centro Veterinario Torrejón|Avenida Madrid, 19|Torrejón de Ardoz, Madrid (España)|916.764.740
123|Innova Veterinaria|Príncipe de Asturias, 1|Catarroja, València (España)|961.266.059
124|Plutos|de La Rioja, 5|Madrid, Madrid (España)|913.202.190
125|Nouclínic Veterinaris|Rambla Lluis Companys 10|Sant Quirze del Vallès, Barcelona (España)|937.216.191
126|Hospital Veterinario Stolz 24 h.|Pintor Stolz, 67 (junto a la antigua cárcel Modelo)(junto a la antigua cárcel Modelo)|Valencia, València (España)|963.833.411
127|Hospital Veterinario Constitución|Alcudia de Crespins, 12|Valencia, València (España)|963.651.410, 962.340.363
128|Hospital Veterinario Benipeixcar|Avenida Constitución, 68|Valencia, València (España)|963.483.098
129|Centro Veterinario La Cañada. Hospital de Día Vetersalud|Calle 110, 21 urb. La Cañada|Paterna, València (España)|961.323.188
130|Clínica Veterinaria San Luis|Fonteta de Sant Lluís, 41|Valencia, València (España)|963.748.890
131|Clínica Veterinaria Cullera|Plaza Sant Isidre, 4|Cullera, València (España)|961.722.302
132|Clínica Veterinaria Bétera|Calvario, 85|Bétera, València (España)|961.602.018
133|Clínica Veterinaria Camí Reial|Camí Reial, 111|Torrent, València (España)|961.566.156
134|Veter Centre Hospital Veterinari|Germanes Castells, 14-16|Igualada, Barcelona (España)|938.047.000
135|Clínica Veterinaria El Pinar|Calle 1 esquina calle 25 - La Canyada|Paterna, València (España)|961.320.875
136|Guau Veterinaris Homeopatía|Mercat, 14|La Pobla de Vallbona, València (España)|961.663.166
137|Clínica Veterinaria Arenal|Concepción Arenal, 22|Massanassa, València (España)|961.252.095
138|Clínica Veterinaria Terra Albal|Av. Corts Valencianes, 98|Albal, València (España)|961.266.906
139|Centro Veterinario Babieca|Miramar, 20|Gandia, València (España)|962.876.130
140|Hospital Veterinario Cruz Cubierta|Av. Dr. Tomás Sala, 19 - 21|Valencia, València (España)|963.786.830
141|Gat i Gos Veterinaris|Legionari Bernabeu, 9|Gandia, València (España)|962.868.149
142|Picanya Grup Veterinari|Senyera,1|Picanya, València (España)|961.591.990
143|Clínica Veterinaria Naturia|Ctra. Vilamarxant, 95|Riba Roja de Túria, València (España)|961.653.826
144|Clínica Veterinaria El Faro|Joan Espinós i Rubio, 1|Cullera, València (España)|961.731.603
145|Clínica Veterinaria Llíria|Colón, 12|Llíria, València (España)|962.790.421
146|Clínica Veterinaria El Caroig Enguera|Camino de Vapor, 12|Enguera, València (España)|962.224.700
147|Clínica Veterinaria La Granja|Parque Pintor Goya, 3|Burjassot, València (España)|963.643.473
148|Veterinaris Medivet|Costera, 4|Valencia, València (España)|963.496.922
149|Clínica Veterinaria Silla|Rambla Independencia, 54|Silla, València (España)|961.213.147
150|Clínica Veterinaria Valterna|C.C. Valterna Plaza, Local 12.|Paterna, València (España)|961.370.170
151|Centro Veterinario Les Alfàbegues|Teodoro Llorente, 12|Bétera, València (España)|961.698.200
152|Hospital Veterinario Global|Laminación, 18 Pol. Ind. Ingruinsa|Sagunto, València (España)|962.674.414
153|Clínica Veterinaria Ciudad Jardín|Ciudad Jardín, 29|Alberic, València (España)|962.440.282
154|Clínica Veterinaria El Paseo|Paseo Germanías, 94|Gandia, València (España)|962.149.399
155|Clínica Veterinària El Pla|Av. Generalitat Valenciana, 27|Algemesí, València (España)|962.482.333
156|Can & Cat|Av. Almaig, 83|Ontinyent, València (España)|961.910.433
157|Clínica Veterinaria Merevet|Isaac Peral, 25|Burjassot, València (España)|961.825.900
158|Clínica Veterinaria Miguel de Manuel|Comunidad Valenciana, 16|Benisano, València (España)|962.794.033
159|Veterinaris Las Américas|Fernando Furió Roca, 38 E Local 11|Torrent, València (España)|961.560.550
160|Veterinaris Centre Clínic|Picanya,25|Torrent, València (España)|961.571.723
161|Hospital Veterinario Sucrovet|Ronda Cabanyal, 8|Sueca, València (España)|961.711.922
162|Eliavet Clínica Veterinaria|Marines S/N|L'Eliana, València (España)|962.744.166
163|Clínica Veterinaria Vallbona|Poeta Llorente, 132|La Pobla de Vallbona, València (España)|962.761.918
164|Clínica Veteriària Horta - El Carmel|Ciències, 9-11|Barcelona, Barcelona (España)|933.587.714
165|Hospital Veterinari Montigalà|Pg. Olof Palme, 12|Badalona, Barcelona (España)|934.653.434
166|Clínica Veterinària Dog Moixet|Joan Torras, 7|Barcelona, Barcelona (España)|933.119.459
167|Clínica Veterinària Miquel Janer|Avenir, 67|Barcelona, Barcelona (España)|932.001.136
168|Clinics Veterinària Santa Perpetua|Onze de Setembre, 26|Santa Perpètua de Mogoda, Barcelona (España)|935.448.006
169|Curasana Clínica Veterinària|Pg. Taulat, 279|Barcelona, Barcelona (España)|933.561.173
170|Vetaquí Clínica Veterinària|Rosselló, 395 Local 6|Barcelona, Barcelona (España)|934.582.873
171|Clínica Veterinària Tecnos|Bruguera, 185|Calella, Barcelona (España)|937.664.063
172|L'Illa Veterinària|Jaume I, 21|Cardedeu, Barcelona (España)|938.454.995
173|Clínica Veteralia Tot Fauna|Ctra. Santa Creu de Calafell, 56|Gavà, Barcelona (España)|936.627.763
174|Veterinaris Granollers|Princesa, 3|Granollers, Barcelona (España)|938.703.654
175|Centre Veterinari Plaça Catalunya|Pintor Basiana, 11|Manresa, Barcelona (España)|938.751.514
176|Serveis Veterinaris de Mataró|Pizarro, 111|Mataró, Barcelona (España)|937.995.599
177|Manescalia Clínica Veterinària|Gallecs, 62|Mollet del Vallès, Barcelona (España)|935.703.027
178|Centre Veterinari Pineda de Mar|Tarragona, 27|Pineda de Mar, Barcelona (España)|937.671.165
179|Centre Veterinari Premià De Dalt|Riera de Sant Pere, 78|Premia de dalt, Barcelona (España)|937.522.050
180|VetClinic Can Fatjo|Safir, 18|Rubí, Barcelona (España)|936.974.205
181|VetClínic Las Torres|Passeig de les Torres, 6|Rubí, Barcelona (España)|935.884.540
182|La Masía Dels Animals|Pl. Estació 5 bajos Valldoreix|Sant Cugat del Vallès, Barcelona (España)|935.890.571
183|Clínica Veterinaria Ramón Grau|Pare Llaurador, 153|Terrassa, Barcelona (España)|937.880.557
184|Arvivet Veterinaris|Avda. del Tèxtil 42 - Nave E|Terrassa, Barcelona (España)|937.889.430
185|Centro Veterinario Don Canito|calle Martínez Villergas,22|Madrid, Madrid (España)|914.034.579
186|Clínica Veterinaria Ayora|Humanista Furió, 5o|Valencia, València (España)|963.303.979
187|Clínica Veterinària Món Animal Berga|Passeig de la Industria Nº 70|Berga, Barcelona (España)|938.210.295
188|Amunt Veterinària|Rambla Sant Martí, 31|Arenys de Munt, Barcelona (España)|937.951.402
189|Cinos Malgrat de Mar|Passada 49-51|Malgrat de Mar, Barcelona (España)|937.612.700
190|Clínica Veterinària Betulia|Cervantes, 161 bajos|Badalona, Barcelona (España)|934.601.436
191|AVet Centre Veterinari|Rambla del Torrentet, 5|Abrera, Barcelona (España)|933.809.178
192|Balmesvet Clínica Veterinària|Balmes, 205|Barcelona, Barcelona (España)|931.173.173
193|Clínica Veterinaria Plans - Grup Veterinari|Samuel Ros, 61|Valencia, València (España)|963.307.609
194|Clínica Veterinaria Venus|C/ Planeta Venus, Local 8.|Parla, Madrid (España)|914.244.161
195|AMVET Clínica Veterinària|Avda Costa Brava 94|Malgrat de Mar, Barcelona (España)|931.735.132
196|Hospital Veterinari Sant Antoni Abat|Enric Morera, 34|Mollet del Vallès, Barcelona (España)|935.707.739
197|Surbatán Centro Asistencial Veterinario|Cebreros101 Cebreros 101|Madrid, Madrid (España)|915.261.633
198|Servicios Veterinarios El Viso|Paseo de Pastrana 26|Alcalá de Henares, Madrid (España)|912.651.692, 912.657.972
199|Clínica Ocaña|Fernando Cadalso 6|Ocaña, Toledo (España)|925.919.387
200|Hospital Veterinari Glòries|Avinguda Diagonal, 237|Barcelona, Barcelona (España)|932.460.805
201|Polican Veterinaris|Ribes, 30-32|Barcelona, Barcelona (España)|932.657.293
202|Hospital Veterinario Savet|Azofra, 29|Madrid, Madrid (España)|912.876.237, 912.405.175
203|Canesval Clínica Veterinaria|Bélgica, 24|Valencia, València (España)|963.257.161
204|Hospital Veterinari Provença VetPro|Provença, 214|Barcelona, Barcelona (España)|930.163.744
205|Centre Veterinari del Berguedà|Serafí Pitarra, 7|Berga, Barcelona (España)|930.163.744
206|Bremen Veterinària|Avinguda Josep Tarradellas, 20|Sabadell, Barcelona (España)|930.163.744
207|Clínica Veterinaria Boavet|Avenida Infante Don Luis,15 Locales A-B|Boadilla del Monte, Madrid (España)|930.163.744
208|CLINICA VETERINARIA PETCLUB|siglo xxi 16, local 12 y 13 junto a la farmacia|Boadilla del Monte, Madrid (España)|930.163.744
209|Centro Veterinario Animalets|Avenida ausias march 9|Jávea, Alicante (España)|930.163.744
210|Héctor De Celis|Pueblo Platero Local 7 y 8 Elviria|Marbella, Málaga (España)|952.830.338
211|Hospital Veterinario Garbí|Carretera NII km 643|Cabrera de Mar, Barcelona (España)|937.591.570
212|Clínica Veterinaria Godelleta|Pozo, 17|Godelleta, València (España)|961.800.805
213|Centro Veterinario Best Friend|Calle Martín Iriarte, 2A|Las Rozas, Madrid (España)|916.369.917
214|Hospital Veterinari Balmes|Carrer de Balmes, 81|Barcelona, Barcelona (España)|934.539.879
215|Assistència Veterinària VIC|C/ Cervera, 6 pol ind Sot dels pradals|Vic, Barcelona (España)|938.852.264
216|Clínica Veterinària Bonavet|Pl. Bonanova, 10|Barcelona, Barcelona (España)|932.110.204
217|Clínica Veteralia Ibarrechevea Deó|Rbla. Generalitat, 4|Sant Sadurní d'Anoia, Barcelona (España)|938.910.079
218|Clínica Veterinària Torreblanca Veterclinic|Avinguda Torre Blanca, 2-8|Sant Cugat del Vallès, Barcelona (España)|935.891.905
219|Centre Veterinari Lacueva Rodrigo|Torras i Bages, 4|Sant Feliu de Llobregat, Barcelona (España)|936.666.653
220|Clínica Veterinària Anso Port Vell|Sant Carles, 20-22|Barcelona, Barcelona (España)|932.215.069
221|Vetxarxa - Centre Veterinari Voltegrà|Onze de Setembre, 48-50|Les Masies de Voltregà, Barcelona (España)|938.502.744
222|Hospital Veterinari L'Arca|Creu, 59|Badalona, Barcelona (España)|934.640.992
223|Hospital Veteralia Sala Goron|Espalter, 22|Sitges, Barcelona (España)|938.940.108
224|Clínica Veteralia Mascots|Vial Paral.lel, 74|Sant Celoni, Barcelona (España)|938.672.602
225|Tres Vet Centro Veterinario|Àngel Guimerà, 17|Esplugues de Llobregat, Barcelona (España)|933.725.685
226|Clinica Veterinaria Tres Torres Granollers|Avenida Francesc Macià, 156-158|Granollers, Barcelona (España)|938.796.847
227|Clinica Veterinària Tres Torres Barcelona|Girona, 90|Barcelona, Barcelona (España)|934.879.504
228|Karibuni Consultori Veterinari|Mistral, 62|Barcelona, Barcelona (España)|934.234.046
229|Centre Veterinari Poble Sec|Passeig de Montjuïc, 26|Barcelona, Barcelona (España)|934.412.669
230|Centre Veterinari Avinguda|Mina, 7|L'Hospitalet de Llobregat, Barcelona (España)|934.384.474
231|Sanivet Centre Veterinari|Av. Catalunya, 179|Palau-solità i Plegamans, Barcelona (España)|938.645.657, 938.648.371
232|Hurones el Bosque|Illescas, 215|Madrid, Madrid (España)|917.177.328
233|Clínica Veterinaria Arturo Soria|Puerto Santa María, 128|Madrid, Madrid (España)|913.003.537
234|Clínica Veterinaria Mundocan|Antonio López, 113|Madrid, Madrid (España)|914.769.837
235|Clínica Veterinaria Canillas|Ctra. Canillas, 116|Madrid, Madrid (España)|913.884.100
236|Clínica Veterinaria AFA|Doctor Ramón Castroviejo, 57|Madrid, Madrid (España)|913.730.786
237|Policlínica Veterinaria 24 horas Avenida del Puerto|Avenida del Puerto, 203|Valencia, València (España)|963.304.379
238|Clínica Veterinaria El Pilar|Maestro Palau, 6 bajobajo|Valencia, València (España)|963.919.779
239|Clínica Veterinaria El Cadell|Conde de Urgell, 8|Xàtiva, València (España)|962.280.847
240|Clínica Veterinaria Antonio Tudela|Dr. Fleming, 1|Alberic, València (España)|962.442.850
241|Clínica Veterinaria Asís|Plus Ultra, 23 bajos|Gandia, València (España)|962.863.398
242|Clínica Veterinaria José Mora y Co.|Valencia, 23|L'Eliana, València (España)|962.741.794
243|Clínica Veterinaria Ammar|Ardiaco Pere Esplugues, 27|Alzira, València (España)|962.016.836
244|Clínica Veterinària Alzivet|Polinyà, 5|Alzira, València (España)|962.229.928
245|Clínica Veterinaria Insarovet|Santa Anna, 3|Alaquàs, València (España)|961.514.026
246|Clínica Veterinaria Moncada|Badía, 96|Moncada, València (España)|961.394.428
247|Clínica Veterinaria Montserrat|Av. Vicent Blasco Ibáñez, 27|Montserrat, València (España)|962.998.152
248|Clínica Veterinaria Germanías|Av. República Argentina, 44|Gandia, València (España)|962.878.019
249|Coronacio Centre Veterinari Bocairent|San Roque, 18|Bocairent, València (España)|962.350.770
250|Coronació Centre Veterinari Ontinyent|Av. Almaig, 11|Ontinyent, València (España)|962.911.771
251|Clínica Veterinaria Tavernes Blanques|Mariano Benlliure, s/n|Tavernes Blanques, València (España)|961.861.054
252|Clínica Veterinaria Monteolivete|Pedro Aleixandre, 33|Valencia, València (España)|963.330.580
253|Clínica Veterianaria Castells|Xúquer 14|Alzira, València (España)|962.415.632
254|Centro de Medicina Animal Valencia|Alcácer, 42|Valencia, València (España)|963.837.474
255|Hospital Veterinario Miguel Izquierdo|Pl. Rodrigo, 5|Sagunto, València (España)|962.690.171
256|Vet 33 Clínica Veterinaria|Cádiz, 33|Valencia, València (España)|963.442.855, 963.418.995
257|Clínica Veterinaria Bolta|Av. Instituto Obrero de Valencia, 9|Valencia, València (España)|963.342.266
258|Centro Veterinario Chiva|Dr. Lanuza, 60|Chiva, València (España)|962.522.437
259|Clínica Veterinaria Sanivet|Calle 15, 42|Paterna, València (España)|961.324.537
260|Clínica Veterinaria El Caroig Navarrés|Navarra, 35|Navarres, València (España)|962.267.047
261|Menescalia Centro Veterinario|Actor Ismael Merlo, 5|Valencia, València (España)|963.603.283
262|Clínica Veterinaria Sant Miquel|Porta Sant Miquel, 6|Xàtiva, València (España)|962.273.356
263|Centre Veterinari El Cid|Cid Campeador, 6|Meliana, València (España)|961.492.036
264|Clínica Veterinaria Nou Campanar|Metge Pediatre Jorge Comín, 8|Valencia, València (España)|963.487.012
265|L'Hospital Veterinaris|Carlos Sarthou, 2|Xàtiva, València (España)|962.047.474
